Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
0, 38700, 1063, 4788, 3
1, 38000, 1078, 4772, 3
2, 36300, 1045, 4780, 3
3, 39000, 1088, 4776, 3
4, 35600, 1119, 4780, 3
5, 35800, 1091, 4780, 3
6, 34300, 1140, 4788, 3
7, 34000, 1054, 4788, 3
8, 38600, 1009, 4780, 3
9, 36400, 1160, 4780, 3
10, 38900, 1006, 4780, 3
11, 38700, 1088, 4780, 3
12, 33900, 1111, 4788, 3
13, 36100, 1037, 4776, 3
14, 38500, 1050, 4784, 3
15, 34700, 1134, 4784, 3
16, 38700, 1044, 4784, 3
17, 34600, 1113, 4776, 3
18, 36500, 1039, 4780, 3
19, 37000, 1045, 4780, 3
20, 38200, 1026, 4784, 3
21, 40100, 1034, 4784, 3
22, 34400, 1108, 4784, 3
23, 35600, 1045, 4772, 3
24, 38300, 1129, 4784, 3
25, 37800, 1068, 4784, 3
26, 38800, 1065, 4784, 3
27, 39300, 1126, 4776, 3
28, 35900, 1067, 4780, 3
29, 33200, 1127, 4784, 3
30, 37100, 1155, 4784, 3
31, 34900, 1045, 4780, 3
32, 33500, 1050, 4784, 3
33, 35400, 1158, 4784, 3
34, 38600, 1099, 4776, 3
35, 35100, 1044, 4780, 3
36, 38700, 1026, 4776, 3
37, 38900, 998, 4784, 3
38, 38800, 1106, 4784, 3
39, 34300, 1132, 4768, 3
40, 33100, 1131, 4776, 3
41, 38200, 1144, 4780, 3
42, 38300, 1136, 4772, 3
43, 37700, 1067, 4780, 3
44, 38600, 1026, 4776, 3
45, 40600, 1086, 4772, 3
46, 38900, 1047, 4776, 3
47, 37500, 1136, 4780, 4
48, 37300, 1068, 4788, 3
49, 36500, 1027, 4784, 3
50, 36400, 1103, 4772, 3
51, 38100, 1062, 4784, 3
52, 37100, 1122, 4784, 3
53, 41000, 1057, 4780, 3
54, 37500, 1121, 4780, 3
55, 37600, 1019, 4776, 3
56, 39500, 1008, 4776, 3
57, 35800, 1113, 4776, 3
58, 36900, 1022, 4776, 3
59, 36300, 1124, 4780, 3
60, 35600, 1126, 4776, 3
61, 33600, 1091, 4776, 3
62, 34600, 1085, 4772, 3
63, 38200, 1019, 4780, 3
64, 39300, 1013, 4780, 3
65, 36400, 1127, 4780, 3
66, 39200, 1147, 4784, 3
67, 37100, 1065, 4784, 3
68, 35400, 1140, 4772, 3
69, 40500, 1149, 4784, 3
70, 36900, 1052, 4784, 3
71, 33900, 1124, 4784, 3
72, 34300, 1050, 4772, 3
73, 34800, 1137, 4780, 3
74, 38000, 1000, 4772, 3
75, 35500, 1124, 4780, 3
76, 36900, 1154, 4780, 3
77, 38400, 1134, 4780, 3
78, 36500, 1124, 4776, 3
79, 34400, 1034, 4776, 3
80, 34500, 1114, 4780, 3
81, 36600, 1124, 4776, 3
82, 39200, 1073, 4788, 3
83, 40800, 1093, 4784, 3
84, 38300, 1065, 4772, 3
85, 39000, 1077, 4784, 3
86, 36600, 1039, 4780, 3
87, 34400, 1140, 4776, 3
88, 35900, 1119, 4784, 3
89, 39900, 1009, 4784, 3
90, 38000, 1026, 4784, 3
91, 38300, 1026, 4784, 3
92, 33800, 1081, 4788, 4
93, 34500, 1093, 4784, 3
94, 39100, 1134, 4776, 4
95, 39000, 1034, 4784, 3
96, 38700, 1045, 4776, 3
97, 37000, 990, 4784, 3
98, 38400, 1155, 4780, 3
99, 36500, 1039, 4776, 3
100, 39100, 1011, 4776, 3
101, 37600, 1041, 4784, 3
102, 37300, 1134, 4784, 3
103, 34400, 1119, 4784, 3
104, 34100, 1101, 4788, 3
105, 35300, 1075, 4776, 3
106, 36300, 1111, 4784, 3
107, 34400, 1144, 4788, 3
108, 34600, 1045, 4780, 3
109, 34600, 1055, 4776, 3
110, 35800, 1068, 4776, 3
111, 35500, 1049, 4780, 3
112, 39100, 1039, 4776, 3
113, 34100, 1047, 4784, 3
114, 36700, 1121, 4776, 3
115, 33300, 1127, 4788, 3
116, 37500, 1049, 4780, 3
117, 38500, 1019, 4784, 4
118, 39000, 1044, 4780, 3
119, 37800, 1008, 4780, 3
120, 34700, 1039, 4788, 3
121, 35700, 1054, 4780, 3
122, 34100, 1136, 4780, 3
123, 36800, 1041, 4780, 3
124, 36400, 1047, 4772, 3
125, 40500, 1160, 4788, 3
126, 38100, 1029, 4776, 3
127, 35600, 1018, 4784, 3
128, 34700, 1037, 4784, 3
129, 36400, 1103, 4788, 3
130, 38900, 1004, 4784, 4
131, 35700, 1106, 4772, 3
132, 34200, 1095, 4784, 3
133, 38200, 1059, 4784, 3
134, 37000, 1140, 4780, 3
135, 38100, 1018, 4780, 3
136, 34800, 1142, 4776, 3
137, 34600, 1067, 4784, 3
138, 37200, 1111, 4776, 3
139, 36000, 1011, 4780, 3
140, 33700, 1157, 4784, 3
141, 36700, 1137, 4780, 3
142, 39500, 1088, 4776, 3
143, 40100, 1085, 4776, 3
144, 37200, 1142, 4776, 3
145, 39100, 1131, 4780, 3
146, 36200, 1131, 4788, 3
147, 36800, 1101, 4788, 3
148, 36100, 1113, 4780, 3
149, 35400, 1045, 4784, 3
150, 38500, 1070, 4784, 3
151, 34500, 1034, 4788, 3
152, 33500, 1090, 4780, 3
153, 35700, 1057, 4776, 3
154, 36100, 995, 4780, 3
155, 38400, 1077, 4780, 3
156, 37500, 1144, 4784, 3
157, 37200, 1142, 4788, 3
158, 38400, 1024, 4780, 3
159, 39900, 1081, 4788, 3
160, 36400, 1095, 4784, 3
161, 34000, 1145, 4772, 3
162, 34200, 1149, 4780, 3
163, 34700, 1052, 4776, 3
164, 36600, 1027, 4784, 3
165, 36600, 1041, 4788, 3
166, 33700, 1134, 4784, 3
167, 41500, 1045, 4784, 3
168, 37200, 1144, 4780, 3
169, 38700, 1009, 4776, 3
170, 35200, 1124, 4780, 3
171, 38700, 1116, 4780, 3
172, 40800, 1034, 4780, 3
173, 39100, 1170, 4788, 3
174, 37000, 1008, 4784, 3
175, 35100, 1129, 4776, 4
176, 38900, 1059, 4788, 3
177, 37200, 1096, 4784, 3
178, 38700, 1013, 4788, 3
179, 39000, 1127, 4780, 3
180, 38900, 1060, 4788, 3
181, 37400, 1090, 4780, 3
182, 36600, 1085, 4784, 3
183, 39300, 1119, 4784, 3
184, 38600, 1093, 4780, 3
185, 41000, 1065, 4776, 3
186, 38800, 1177, 4784, 3
187, 37100, 1013, 4784, 3
188, 34300, 1063, 4788, 3
189, 35300, 1116, 4776, 3
190, 35000, 998, 4784, 3
191, 34600, 1104, 4780, 3
192, 39000, 1122, 4784, 3
193, 39200, 1103, 4784, 3
194, 38100, 1121, 4780, 3
195, 38000, 1039, 4776, 3
196, 38200, 1093, 4780, 3
197, 39600, 1085, 4788, 3
198, 39800, 1016, 4780, 3
199, 37800, 1122, 4780, 3
200, 38200, 1129, 4788, 3
201, 37800, 1096, 4780, 3
202, 38000, 1000, 4780, 3
203, 35500, 1044, 4780, 3
204, 38100, 1060, 4788, 3
205, 37000, 1149, 4776, 3
206, 38300, 1036, 4776, 3
207, 38700, 986, 4784, 3
208, 37800, 1039, 4768, 3
209, 39100, 1132, 4780, 3
210, 33700, 1134, 4784, 3
211, 36500, 1068, 4780, 3
212, 35900, 1140, 4788, 3
213, 38100, 1068, 4772, 3
214, 40000, 1136, 4780, 4
215, 38600, 1075, 4772, 3
216, 39000, 1011, 4788, 3
217, 36800, 1144, 4784, 3
218, 38500, 1119, 4772, 3
219, 36900, 990, 4776, 3
220, 36600, 1049, 4776, 3
221, 34000, 1142, 4788, 3
222, 39300, 1068, 4780, 3
223, 39100, 1057, 4788, 3
224, 39700, 1091, 4780, 3
225, 38000, 1031, 4780, 3
226, 37200, 1083, 4780, 3
227, 37500, 1111, 4776, 3
228, 34300, 1154, 4784, 3
229, 39100, 1014, 4784, 3
230, 34800, 1081, 4788, 3
231, 40300, 1096, 4780, 3
232, 38400, 1055, 4780, 3
233, 33600, 1131, 4780, 3
234, 36500, 1019, 4780, 3
235, 37200, 1149, 4780, 3
236, 33600, 1091, 4776, 3
237, 37600, 1026, 4780, 3
238, 35700, 1029, 4780, 3
239, 35800, 1106, 4780, 3
240, 35200, 1150, 4772, 4
241, 38100, 1132, 4784, 3
242, 37200, 1009, 4784, 3
243, 34000, 1136, 4784, 3
244, 37800, 1032, 4780, 3
245, 37300, 1116, 4788, 3
246, 37600, 1116, 4784, 3
247, 36600, 1078, 4776, 3
248, 38000, 1075, 4776, 3
249, 35400, 1122, 4776, 3
250, 38900, 1070, 4784, 3
251, 37500, 1067, 4776, 3
252, 38700, 1006, 4788, 3
253, 38500, 1009, 4788, 3
254, 36100, 1029, 4780, 3
255, 36600, 1121, 4768, 3
256, 38300, 1054, 4780, 3
257, 39300, 1039, 4776, 3
258, 34500, 1131, 4772, 3
259, 35300, 1132, 4776, 3
260, 33400, 1155, 4776, 3
261, 36900, 1039, 4780, 3
262, 36800, 1142, 4784, 3
263, 35400, 1114, 4776, 3
264, 34500, 1075, 4780, 3
265, 34000, 1026, 4784, 3
266, 36400, 1119, 4784, 3
267, 39200, 1177, 4772, 3
268, 36800, 1124, 4780, 3
269, 38200, 1013, 4788, 3
270, 35400, 1144, 4776, 3
271, 34700, 1127, 4780, 3
272, 37600, 1009, 4776, 3
273, 36000, 1049, 4784, 3
274, 33500, 1081, 4784, 3
275, 35400, 1037, 4780, 3
276, 37800, 1150, 4776, 4
277, 36800, 1021, 4784, 3
278, 38800, 1029, 4784, 3
279, 38900, 1062, 4780, 3
280, 36600, 1106, 4784, 3
281, 34300, 1036, 4784, 3
282, 39600, 1049, 4784, 3
283, 38900, 1099, 4784, 3
284, 38500, 1129, 4784, 3
285, 37800, 1132, 4776, 3
286, 34100, 995, 4784, 3
287, 38400, 1111, 4780, 3
288, 38800, 1008, 4780, 3
289, 37600, 1124, 4780, 3
290, 35600, 1019, 4784, 4
291, 37900, 1144, 4784, 3
292, 34400, 1126, 4784, 3
293, 34500, 1080, 4784, 3
294, 38900, 1047, 4780, 3
295, 39800, 1086, 4788, 3
296, 35300, 1018, 4788, 3
297, 37800, 1095, 4788, 3
298, 36300, 1039, 4776, 3
299, 37300, 1059, 4784, 3
300, 39600, 1041, 4788, 4
301, 36100, 1060, 4784, 3
302, 39000, 1131, 4776, 3
303, 33800, 1037, 4784, 3
304, 36900, 1044, 4788, 3
305, 37900, 1014, 4788, 3
306, 35300, 1068, 4784, 3
307, 38800, 1078, 4776, 3
308, 35800, 1019, 4780, 3
309, 36200, 1034, 4780, 3
310, 36700, 1045, 4784, 3
311, 35900, 1131, 4784, 3
312, 38000, 1131, 4776, 3
313, 37300, 1129, 4780, 3
314, 38600, 998, 4780, 4
315, 33900, 1127, 4784, 3
316, 35000, 1045, 4788, 3
317, 39300, 1003, 4780, 3
318, 39200, 1083, 4776, 3
319, 37300, 1019, 4784, 3
320, 35700, 1095, 4780, 3
321, 37400, 1062, 4776, 4
322, 39100, 1072, 4780, 3
323, 36800, 1037, 4780, 3
324, 38600, 1140, 4784, 3
325, 35000, 1052, 4780, 3
326, 38700, 1142, 4788, 3
327, 39800, 1004, 4784, 3
328, 38300, 1072, 4784, 3
329, 33900, 1154, 4776, 3
330, 38600, 1013, 4784, 3
331, 35800, 1026, 4788, 3
332, 34600, 1101, 4780, 3
333, 38200, 1075, 4784, 3
334, 39100, 1034, 4788, 3
335, 37700, 1054, 4776, 3
336, 37800, 1136, 4780, 3
337, 37300, 1070, 4784, 3
338, 39000, 1073, 4784, 3
339, 39400, 1093, 4784, 3
340, 34800, 1075, 4780, 3
341, 39600, 1177, 4772, 3
342, 34700, 1090, 4788, 3
343, 33700, 1124, 4776, 3
344, 39500, 1078, 4788, 3
345, 35300, 1072, 4776, 3
346, 39200, 1042, 4776, 3
347, 40600, 1075, 4788, 3
348, 35900, 1013, 4784, 3
349, 34300, 1103, 4788, 3
350, 39300, 1095, 4784, 3
351, 39500, 1018, 4784, 3
352, 36900, 1122, 4784, 3
353, 35600, 1131, 4784, 3
354, 41000, 1101, 4776, 3
355, 38300, 1029, 4776, 3
356, 34800, 1145, 4776, 3
357, 36900, 1006, 4780, 3
358, 34100, 1032, 4776, 3
359, 34600, 1095, 4768, 3
360, 36200, 1034, 4788, 3
361, 38900, 1075, 4788, 3
362, 39200, 1122, 4788, 3
363, 37100, 1022, 4780, 3
364, 37800, 1037, 4784, 3
365, 34500, 1114, 4788, 3
366, 34500, 1136, 4780, 3
367, 37900, 1098, 4784, 3
368, 39800, 1042, 4788, 3
369, 37900, 1050, 4780, 3
370, 36700, 1096, 4776, 4
371, 34700, 1168, 4784, 3
372, 38700, 1039, 4784, 4
373, 34000, 1032, 4784, 3
374, 38500, 1034, 4780, 3
375, 33700, 1122, 4780, 3
376, 38800, 1116, 4780, 3
377, 36700, 1144, 4784, 3
378, 36000, 1027, 4768, 3
379, 36700, 1004, 4776, 3
380, 32900, 1139, 4780, 3
381, 35000, 1060, 4780, 3
382, 33400, 1019, 4788, 3
383, 39300, 1065, 4788, 4
384, 39300, 1114, 4776, 3
385, 38800, 1006, 4784, 3
386, 37900, 1139, 4784, 3
387, 36900, 1096, 4784, 3
388, 35700, 1021, 4772, 3
389, 38300, 1108, 4780, 3
390, 36400, 1070, 4776, 3
391, 35700, 1068, 4784, 3
392, 38200, 1083, 4780, 3
393, 38300, 1154, 4784, 3
394, 38000, 1029, 4780, 3
395, 37600, 1014, 4780, 3
396, 37400, 1029, 4784, 3
397, 36000, 1121, 4788, 3
398, 36500, 1044, 4776, 3
399, 35400, 1144, 4780, 3
400, 33700, 1116, 4776, 3
401, 39000, 1083, 4780, 3
402, 39100, 1013, 4788, 3
403, 34800, 1118, 4780, 3
404, 34500, 1099, 4788, 3
405, 37400, 1019, 4776, 3
406, 37700, 1113, 4780, 3
407, 33400, 1095, 4780, 3
408, 37100, 1036, 4784, 3
409, 39500, 1026, 4784, 3
410, 34700, 1019, 4788, 3
411, 38400, 1086, 4788, 3
412, 34000, 1090, 4780, 3
413, 37600, 1008, 4784, 3
414, 36600, 993, 4784, 3
415, 38500, 1088, 4780, 3
416, 37200, 1009, 4780, 3
417, 35600, 1126, 4780, 3
418, 38500, 1121, 4780, 3
419, 35800, 1139, 4784, 3
420, 35200, 1041, 4776, 3
421, 34000, 995, 4780, 3
422, 35600, 1122, 4784, 3
423, 37500, 1145, 4776, 3
424, 40100, 1073, 4788, 3
425, 34500, 1111, 4784, 3
426, 38900, 1011, 4780, 3
427, 34900, 1116, 4784, 3
428, 36800, 1147, 4784, 3
429, 34500, 1086, 4784, 3
430, 37700, 1026, 4780, 3
431, 40000, 1108, 4780, 3
432, 34700, 1059, 4784, 3
433, 38500, 1013, 4788, 3
434, 39400, 1065, 4788, 3
435, 38800, 1014, 4784, 4
436, 35900, 1006, 4788, 3
437, 34900, 1034, 4780, 3
438, 38300, 1062, 4772, 4
439, 34800, 1132, 4776, 3
440, 39800, 1018, 4776, 3
441, 37600, 1011, 4776, 3
442, 38700, 1014, 4780, 3
443, 33800, 1086, 4788, 3
444, 38000, 1037, 4784, 3
445, 34300, 1037, 4776, 3
446, 36800, 1026, 4784, 3
447, 38000, 1145, 4784, 3
448, 33000, 1154, 4784, 3
449, 34900, 1099, 4776, 3
450, 36400, 1101, 4788, 3
451, 34800, 1131, 4780, 3
452, 34800, 1104, 4784, 3
453, 41000, 1119, 4788, 3
454, 36600, 1036, 4784, 3
455, 38100, 1011, 4776, 3
456, 34100, 1099, 4776, 3
457, 39100, 1047, 4788, 3
458, 37000, 1021, 4776, 3
459, 37600, 1096, 4784, 3
460, 35500, 1119, 4780, 3
461, 38900, 1080, 4784, 3
462, 34700, 1145, 4776, 3
463, 39000, 1018, 4768, 3
464, 38500, 1124, 4780, 3
465, 39500, 1177, 4784, 3
466, 38200, 1103, 4784, 3
467, 35800, 1039, 4776, 3
468, 37300, 1124, 4784, 3
469, 37000, 1027, 4776, 3
470, 33600, 1145, 4776, 3
471, 36200, 1026, 4784, 3
472, 35100, 1149, 4780, 3
473, 38700, 1029, 4768, 3
474, 37200, 1037, 4776, 3
475, 34800, 1137, 4780, 3
476, 35400, 1070, 4776, 3
477, 39600, 1140, 4776, 3
478, 38000, 1059, 4780, 3
479, 37600, 1140, 4784, 3
480, 37800, 1091, 4784, 3
481, 38700, 1013, 4772, 3
482, 35100, 1072, 4780, 3
483, 38600, 1021, 4784, 3
484, 36500, 1019, 4788, 3
485, 37000, 1044, 4780, 3
486, 35300, 1049, 4776, 3
487, 33700, 1131, 4788, 3
488, 36300, 1049, 4776, 3
489, 33900, 1073, 4784, 4
490, 39800, 1119, 4784, 3
491, 34100, 1150, 4780, 3
492, 37800, 1185, 4780, 3
493, 34600, 1118, 4776, 3
494, 32900, 1119, 4776, 3
495, 34900, 1039, 4780, 3
496, 33700, 1013, 4776, 3
497, 35000, 1126, 4784, 3
498, 34300, 1091, 4772, 3
499, 33400, 1019, 4784, 3
500, 38300, 1032, 4776, 3
501, 34000, 1145, 4780, 3
502, 36600, 1113, 4780, 3
503, 33700, 1098, 4780, 3
504, 33600, 1124, 4788, 3
505, 35900, 1044, 4776, 3
506, 38100, 1086, 4780, 3
507, 37900, 1096, 4788, 3
508, 36600, 1014, 4784, 3
509, 34200, 1041, 4768, 3
510, 38500, 1095, 4776, 4
511, 33900, 1103, 4776, 3
512, 36900, 1090, 4780, 3
513, 41000, 1044, 4780, 3
514, 38500, 1081, 4780, 3
515, 37200, 1054, 4788, 3
516, 38200, 1022, 4784, 3
517, 34500, 1090, 4776, 3
518, 39500, 1086, 4780, 3
519, 35700, 1090, 4780, 3
520, 35800, 1052, 4776, 3
521, 37000, 1022, 4784, 3
522, 37800, 1126, 4772, 3
523, 33900, 1126, 4784, 3
524, 37800, 1016, 4788, 3
525, 34900, 1060, 4780, 3
526, 37300, 1049, 4780, 3
527, 34500, 1054, 4776, 4
528, 34900, 1059, 4784, 3
529, 38300, 1101, 4776, 3
530, 36800, 1009, 4768, 3
531, 35200, 1124, 4780, 3
532, 34000, 1024, 4776, 3
533, 35300, 1073, 4780, 3
534, 39200, 1124, 4788, 3
535, 35300, 1019, 4784, 3
536, 34900, 1098, 4776, 3
537, 34500, 1070, 4788, 3
538, 38600, 1039, 4784, 3
539, 35100, 1145, 4776, 3
540, 38700, 1121, 4784, 3
541, 33900, 1060, 4776, 3
542, 38200, 1095, 4788, 3
543, 37800, 1121, 4780, 3
544, 33400, 1114, 4788, 3
545, 36100, 1034, 4780, 3
546, 39800, 1162, 4784, 3
547, 36300, 1019, 4780, 3
548, 38600, 1072, 4776, 3
549, 34400, 1114, 4784, 3
550, 37600, 1050, 4780, 3
551, 38400, 1000, 4780, 3
552, 34600, 1088, 4780, 3
553, 35100, 1136, 4780, 3
554, 33700, 1140, 4784, 3
555, 35000, 1136, 4788, 3
556, 39800, 1026, 4772, 3
557, 35100, 1119, 4784, 3
558, 36900, 1032, 4776, 3
559, 39300, 1039, 4784, 3
560, 34500, 1144, 4780, 3
561, 33700, 1052, 4776, 3
562, 35900, 1106, 4780, 3
563, 38400, 1121, 4780, 3
564, 38400, 1068, 4784, 3
565, 37700, 1075, 4776, 3
566, 37100, 1144, 4768, 3
567, 35600, 1113, 4784, 3
