Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
0, 27200, 850, 4796, 2
1, 27300, 854, 4796, 2
2, 27100, 850, 4796, 2
3, 27000, 846, 4796, 2
4, 28000, 872, 4796, 2
5, 28000, 872, 4796, 2
6, 28100, 873, 4796, 2
7, 28100, 873, 4796, 2
8, 28100, 873, 4796, 2
9, 28000, 870, 4792, 2
10, 28000, 872, 4796, 2
11, 28000, 872, 4796, 2
12, 27900, 868, 4796, 2
13, 27900, 872, 4796, 2
14, 27900, 868, 4796, 2
15, 27800, 867, 4796, 2
16, 27800, 867, 4796, 2
17, 27700, 862, 4796, 2
18, 27600, 864, 4796, 2
19, 27600, 864, 4796, 2
20, 27700, 864, 4796, 2
21, 27800, 867, 4796, 2
22, 27700, 867, 4796, 2
23, 27800, 867, 4792, 2
24, 27800, 864, 4796, 2
25, 27800, 867, 4796, 2
26, 27800, 867, 4796, 2
27, 27800, 867, 4800, 2
28, 27800, 867, 4796, 2
29, 27800, 867, 4796, 2
30, 27700, 867, 4796, 2
31, 27800, 867, 4796, 2
32, 27800, 867, 4796, 2
33, 27800, 867, 4796, 2
34, 27700, 867, 4796, 2
35, 27800, 867, 4796, 2
36, 27800, 867, 4796, 2
37, 27800, 867, 4796, 2
38, 27800, 867, 4796, 2
39, 27800, 867, 4792, 2
40, 27800, 864, 4796, 2
41, 27800, 867, 4796, 2
42, 27900, 868, 4796, 2
43, 27900, 868, 4796, 2
44, 27900, 867, 4796, 2
45, 27900, 868, 4796, 2
46, 27900, 868, 4796, 2
47, 27900, 867, 4796, 2
48, 28000, 868, 4796, 2
49, 27900, 868, 4796, 2
50, 27800, 867, 4792, 2
51, 27900, 868, 4796, 2
52, 27800, 867, 4796, 2
53, 27800, 867, 4796, 2
54, 27800, 867, 4796, 2
55, 27800, 867, 4796, 2
56, 27900, 867, 4796, 2
57, 27800, 867, 4796, 2
58, 27800, 867, 4796, 2
59, 27800, 867, 4796, 2
60, 27900, 868, 4796, 2
61, 27900, 868, 4796, 2
62, 27900, 868, 4796, 2
63, 28000, 872, 4796, 2
64, 27900, 872, 4796, 2
65, 27900, 870, 4792, 2
66, 27900, 868, 4796, 2
67, 28000, 868, 4796, 2
68, 27900, 872, 4796, 2
69, 27900, 868, 4792, 2
70, 27900, 868, 4796, 2
71, 28000, 868, 4796, 2
72, 28000, 868, 4796, 2
73, 27900, 868, 4792, 2
74, 28000, 868, 4792, 2
75, 27800, 867, 4796, 2
76, 27800, 867, 4796, 2
77, 27800, 867, 4792, 2
78, 27800, 867, 4796, 2
79, 27800, 867, 4796, 2
80, 27800, 868, 4796, 2
81, 27800, 867, 4796, 2
82, 27800, 867, 4796, 2
83, 27800, 867, 4796, 2
84, 27800, 867, 4796, 2
85, 27800, 867, 4796, 2
86, 27800, 867, 4796, 2
87, 27800, 867, 4796, 2
88, 27800, 867, 4796, 2
89, 27800, 867, 4792, 2
90, 27800, 867, 4796, 2
91, 27800, 867, 4792, 2
92, 27800, 867, 4796, 2
93, 27800, 867, 4796, 2
94, 27800, 867, 4796, 2
95, 27800, 867, 4792, 2
96, 27800, 867, 4796, 2
97, 27800, 867, 4796, 2
98, 27800, 867, 4796, 2
99, 27800, 867, 4796, 2
100, 27800, 867, 4796, 2
101, 27800, 867, 4792, 2
102, 27800, 867, 4796, 2
103, 27800, 867, 4792, 2
104, 27800, 867, 4796, 2
105, 27800, 867, 4796, 2
106, 27800, 867, 4792, 2
107, 27800, 867, 4796, 2
108, 27800, 867, 4796, 2
109, 27800, 867, 4796, 2
110, 27800, 867, 4796, 2
111, 27800, 867, 4792, 2
112, 27700, 864, 4796, 2
113, 27800, 867, 4796, 2
114, 27800, 867, 4796, 2
115, 27800, 867, 4796, 2
116, 27800, 867, 4796, 2
117, 27800, 867, 4796, 2
118, 27800, 868, 4796, 2
119, 27800, 867, 4796, 2
120, 27800, 867, 4796, 2
121, 27800, 867, 4796, 2
122, 27800, 867, 4796, 2
123, 27800, 867, 4796, 2
124, 27700, 868, 4792, 2
125, 27800, 867, 4796, 2
126, 27800, 867, 4796, 2
127, 27800, 867, 4796, 2
128, 27800, 867, 4796, 2
129, 27800, 867, 4796, 2
130, 27800, 864, 4796, 2
131, 27800, 864, 4796, 2
132, 27700, 864, 4796, 2
133, 27900, 868, 4796, 2
134, 27900, 867, 4796, 2
135, 27900, 868, 4796, 2
136, 27800, 867, 4796, 2
137, 27800, 867, 4796, 2
138, 27800, 867, 4796, 2
139, 27700, 867, 4796, 2
140, 27700, 864, 4796, 2
141, 27700, 867, 4796, 2
142, 27700, 867, 4796, 2
143, 27700, 864, 4796, 2
144, 27800, 867, 4796, 2
145, 27700, 865, 4796, 2
146, 27700, 864, 4796, 2
147, 27700, 867, 4796, 2
148, 27800, 864, 4796, 2
149, 27700, 864, 4796, 2
150, 27700, 864, 4796, 2
151, 27700, 864, 4796, 2
152, 27800, 864, 4792, 2
153, 27700, 864, 4792, 2
154, 27700, 867, 4792, 2
155, 27800, 864, 4796, 2
156, 27700, 867, 4796, 2
157, 27800, 867, 4796, 2
158, 27700, 867, 4796, 2
159, 27700, 867, 4796, 2
160, 27800, 864, 4796, 2
161, 27800, 864, 4792, 2
162, 27700, 867, 4796, 2
163, 27800, 864, 4796, 2
164, 27800, 867, 4796, 2
165, 27700, 864, 4796, 2
166, 27700, 864, 4796, 2
167, 27700, 864, 4796, 2
168, 27700, 864, 4796, 2
169, 27700, 864, 4796, 2
170, 27700, 864, 4792, 2
171, 27800, 864, 4796, 2
172, 27800, 864, 4796, 2
173, 27800, 867, 4796, 2
174, 27800, 867, 4796, 2
175, 27800, 867, 4796, 2
176, 27700, 864, 4796, 2
177, 27800, 864, 4796, 2
178, 27800, 864, 4796, 2
179, 27800, 867, 4796, 2
180, 27800, 867, 4796, 2
181, 27800, 867, 4796, 2
182, 27700, 864, 4796, 2
183, 27700, 864, 4796, 2
184, 27700, 867, 4796, 2
185, 27800, 864, 4792, 2
186, 27800, 864, 4796, 2
187, 27800, 867, 4796, 2
188, 27800, 867, 4792, 2
189, 27800, 867, 4796, 2
190, 27800, 867, 4792, 2
191, 27800, 867, 4792, 2
192, 27800, 867, 4796, 2
193, 27800, 867, 4796, 2
194, 27800, 867, 4796, 2
195, 27800, 867, 4796, 2
196, 27800, 867, 4796, 2
197, 27800, 867, 4796, 2
198, 27800, 867, 4796, 2
199, 27700, 864, 4796, 2
200, 27800, 864, 4796, 2
201, 27700, 867, 4792, 2
202, 27700, 864, 4792, 2
203, 27800, 867, 4796, 2
204, 27700, 867, 4796, 2
205, 27800, 867, 4796, 2
206, 27800, 867, 4796, 2
207, 27700, 864, 4796, 2
208, 27700, 864, 4796, 2
209, 27600, 864, 4796, 2
210, 27700, 864, 4796, 2
211, 27700, 864, 4792, 2
212, 27700, 864, 4796, 2
213, 27700, 864, 4796, 2
214, 27600, 864, 4796, 2
215, 27700, 864, 4796, 2
216, 27700, 864, 4792, 2
217, 27600, 862, 4792, 2
218, 27700, 864, 4792, 2
219, 27700, 864, 4796, 2
220, 27700, 864, 4796, 2
221, 27600, 862, 4796, 2
222, 27700, 864, 4796, 2
223, 27700, 862, 4796, 2
224, 27600, 862, 4796, 2
225, 27700, 862, 4796, 2
226, 27700, 864, 4796, 2
227, 27600, 864, 4796, 2
228, 27700, 864, 4796, 2
229, 27700, 862, 4796, 2
230, 27700, 862, 4796, 2
231, 27600, 864, 4796, 2
232, 27600, 864, 4792, 2
233, 27600, 862, 4796, 2
234, 27700, 862, 4796, 2
235, 27400, 857, 4796, 2
236, 27300, 864, 4796, 2
237, 28100, 873, 4796, 2
238, 28000, 873, 4796, 2
239, 28000, 872, 4796, 2
240, 28000, 868, 4792, 2
241, 27900, 868, 4792, 2
242, 27800, 868, 4796, 2
243, 27800, 867, 4796, 2
244, 27800, 867, 4796, 2
245, 27800, 867, 4796, 2
246, 28000, 870, 4796, 2
247, 27800, 868, 4796, 2
248, 27900, 867, 4796, 2
249, 27800, 867, 4792, 2
250, 27800, 867, 4792, 2
251, 27700, 864, 4792, 2
252, 27700, 864, 4796, 2
253, 27700, 864, 4796, 2
254, 27700, 864, 4796, 2
255, 27800, 867, 4796, 2
256, 27700, 867, 4800, 2
257, 28000, 868, 4796, 2
258, 28000, 868, 4796, 2
259, 27900, 872, 4796, 2
260, 27900, 868, 4796, 2
261, 27900, 868, 4796, 2
262, 27900, 868, 4796, 2
263, 27800, 868, 4796, 2
264, 27800, 867, 4796, 2
265, 27900, 868, 4796, 2
266, 27900, 868, 4796, 2
267, 27900, 868, 4796, 2
268, 27900, 868, 4796, 2
269, 28000, 868, 4796, 2
270, 27900, 870, 4792, 2
271, 28000, 868, 4796, 2
272, 27900, 868, 4796, 2
273, 27900, 868, 4796, 2
274, 28000, 868, 4796, 2
275, 27900, 868, 4792, 2
276, 27900, 872, 4796, 2
277, 28000, 872, 4796, 2
278, 27900, 872, 4796, 2
279, 28000, 872, 4796, 2
280, 27900, 868, 4796, 2
281, 27900, 868, 4796, 2
282, 27900, 868, 4796, 2
283, 27900, 867, 4796, 2
284, 27900, 867, 4796, 2
285, 27900, 867, 4796, 2
286, 27900, 867, 4792, 2
287, 27800, 867, 4796, 2
288, 27700, 867, 4796, 2
289, 27800, 864, 4796, 2
290, 27700, 867, 4796, 2
291, 27800, 864, 4796, 2
292, 27700, 867, 4800, 2
293, 27700, 867, 4796, 2
294, 27800, 864, 4796, 2
295, 27700, 864, 4792, 2
296, 27700, 864, 4796, 2
297, 27700, 864, 4796, 2
298, 27700, 864, 4796, 2
299, 27700, 862, 4796, 2
300, 27600, 862, 4796, 2
301, 27600, 862, 4796, 2
302, 27600, 864, 4796, 2
303, 27700, 862, 4796, 2
304, 27700, 864, 4796, 2
305, 27700, 864, 4796, 2
306, 27600, 865, 4796, 2
307, 27600, 864, 4792, 2
308, 27700, 864, 4796, 2
309, 27700, 864, 4796, 2
310, 27600, 864, 4796, 2
311, 27700, 867, 4796, 2
312, 27700, 864, 4792, 2
313, 27800, 867, 4792, 2
314, 27700, 864, 4796, 2
315, 27800, 867, 4796, 2
316, 27800, 867, 4796, 2
317, 27700, 867, 4796, 2
318, 27800, 864, 4796, 2
319, 27800, 867, 4796, 2
320, 27800, 867, 4796, 2
321, 27800, 867, 4796, 2
322, 27800, 867, 4796, 2
323, 27800, 864, 4796, 2
324, 27700, 864, 4796, 2
325, 27800, 867, 4796, 2
326, 27700, 864, 4796, 2
327, 27700, 864, 4796, 2
328, 27800, 867, 4796, 2
329, 27700, 864, 4796, 2
330, 27700, 867, 4796, 2
331, 27800, 864, 4796, 2
332, 27700, 864, 4796, 2
333, 27700, 864, 4796, 2
334, 27800, 864, 4796, 2
335, 27700, 864, 4796, 2
336, 27700, 864, 4796, 2
337, 27700, 864, 4796, 2
338, 27700, 864, 4796, 2
339, 27800, 867, 4796, 2
340, 27800, 864, 4796, 2
341, 27700, 864, 4796, 2
342, 27700, 864, 4796, 2
343, 27700, 862, 4796, 2
344, 27600, 859, 4792, 2
345, 27600, 862, 4796, 2
346, 27600, 862, 4792, 2
347, 27700, 864, 4796, 2
348, 27600, 862, 4796, 2
349, 27600, 864, 4796, 2
350, 27600, 862, 4796, 2
351, 27600, 862, 4796, 2
352, 27600, 862, 4796, 2
353, 27600, 864, 4796, 2
354, 27600, 862, 4796, 2
355, 27600, 862, 4796, 2
356, 27700, 864, 4796, 2
357, 27700, 862, 4796, 2
358, 27700, 862, 4796, 2
359, 27700, 864, 4796, 2
360, 27700, 862, 4796, 2
361, 27600, 864, 4796, 2
362, 27600, 864, 4796, 2
363, 27700, 864, 4796, 2
364, 27600, 864, 4796, 2
365, 27700, 864, 4796, 2
366, 27700, 864, 4796, 2
367, 27600, 864, 4796, 2
368, 27700, 864, 4796, 2
369, 27700, 864, 4796, 2
370, 27600, 862, 4796, 2
371, 27700, 864, 4792, 2
372, 27600, 862, 4796, 2
373, 27700, 864, 4796, 2
374, 27600, 864, 4796, 2
375, 27700, 864, 4796, 2
376, 27600, 864, 4796, 2
377, 27900, 868, 4796, 2
378, 27700, 865, 4796, 2
379, 27800, 864, 4796, 2
380, 27700, 864, 4796, 2
381, 27900, 867, 4796, 2
382, 27900, 872, 4796, 2
383, 27900, 868, 4796, 2
384, 28000, 868, 4796, 2
385, 28000, 870, 4796, 2
386, 27900, 872, 4796, 2
387, 28000, 868, 4796, 2
388, 27900, 868, 4796, 2
389, 27700, 867, 4796, 2
390, 27700, 864, 4796, 2
391, 27700, 864, 4796, 2
392, 27800, 867, 4796, 2
393, 27800, 867, 4796, 2
394, 27700, 867, 4796, 2
395, 27700, 864, 4796, 2
396, 27700, 864, 4796, 2
397, 27700, 864, 4796, 2
398, 27700, 867, 4796, 2
399, 27800, 868, 4796, 2
400, 27900, 868, 4796, 2
401, 27900, 867, 4796, 2
402, 27900, 867, 4796, 2
403, 27800, 868, 4796, 2
404, 27800, 868, 4796, 2
405, 27800, 867, 4796, 2
406, 27900, 868, 4796, 2
407, 27900, 868, 4796, 2
408, 27900, 868, 4796, 2
409, 27900, 872, 4796, 2
410, 27900, 868, 4796, 2
411, 27900, 868, 4796, 2
412, 27900, 868, 4796, 2
413, 28000, 872, 4796, 2
414, 27900, 868, 4796, 2
415, 28000, 872, 4796, 2
416, 27900, 872, 4796, 2
417, 27900, 868, 4796, 2
418, 27900, 872, 4796, 2
419, 28000, 868, 4792, 2
420, 28000, 872, 4796, 2
421, 27900, 872, 4796, 2
422, 27900, 868, 4796, 2
423, 28000, 872, 4796, 2
424, 28100, 872, 4796, 2
425, 28000, 872, 4796, 2
426, 27800, 868, 4792, 2
427, 27900, 868, 4792, 2
428, 28000, 872, 4796, 2
429, 28000, 870, 4792, 2
430, 28000, 872, 4796, 2
431, 28000, 872, 4796, 2
432, 27900, 872, 4796, 2
433, 28000, 868, 4796, 2
434, 28000, 872, 4796, 2
435, 28000, 873, 4796, 2
436, 28000, 872, 4796, 2
437, 28000, 870, 4792, 2
438, 28100, 873, 4796, 2
439, 28100, 872, 4796, 2
440, 28000, 872, 4796, 2
441, 28100, 872, 4796, 2
442, 28000, 872, 4796, 2
443, 28100, 872, 4792, 2
444, 28000, 873, 4796, 2
445, 28000, 873, 4796, 2
446, 28000, 873, 4792, 2
447, 28100, 870, 4792, 2
448, 28000, 872, 4796, 2
449, 28100, 873, 4796, 2
450, 28100, 873, 4796, 2
451, 28100, 872, 4796, 2
452, 28100, 873, 4796, 2
453, 28000, 872, 4796, 2
454, 28100, 873, 4792, 2
455, 28100, 873, 4792, 2
456, 28100, 873, 4800, 2
457, 28000, 872, 4796, 2
458, 28100, 872, 4796, 2
459, 28000, 873, 4796, 2
460, 28000, 872, 4796, 2
461, 28100, 873, 4796, 2
462, 28000, 873, 4796, 2
463, 28000, 873, 4796, 2
464, 28100, 873, 4796, 2
465, 28100, 872, 4792, 2
466, 28000, 872, 4796, 2
467, 28000, 872, 4796, 2
468, 28100, 872, 4796, 2
469, 28000, 872, 4796, 2
470, 28000, 870, 4796, 2
471, 28000, 868, 4796, 2
472, 28000, 868, 4796, 2
473, 27900, 868, 4796, 2
474, 28000, 872, 4796, 2
475, 28000, 872, 4796, 2
476, 28000, 872, 4796, 2
477, 28000, 872, 4796, 2
478, 28000, 872, 4796, 2
479, 28000, 873, 4800, 2
480, 28000, 872, 4792, 2
481, 28000, 872, 4796, 2
482, 28000, 872, 4796, 2
483, 28000, 873, 4796, 2
484, 28000, 872, 4796, 2
485, 28000, 872, 4796, 2
486, 27900, 870, 4796, 2
487, 28000, 872, 4796, 2
488, 28000, 873, 4796, 2
489, 28000, 872, 4796, 2
490, 28000, 872, 4796, 2
491, 28000, 872, 4796, 2
