Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
0, 25700, 816, 4800, 2
1, 25600, 818, 4804, 2
2, 25700, 814, 4800, 2
3, 25600, 814, 4804, 2
4, 25600, 814, 4804, 2
5, 25300, 805, 4804, 2
6, 24400, 773, 4804, 2
7, 23900, 772, 4808, 2
8, 25600, 814, 4800, 2
9, 25600, 814, 4804, 2
10, 25600, 818, 4800, 2
11, 25600, 816, 4800, 2
12, 25700, 816, 4800, 2
13, 25700, 816, 4800, 2
14, 25800, 816, 4800, 2
15, 25700, 816, 4800, 2
16, 25700, 816, 4800, 2
17, 25700, 819, 4804, 2
18, 25800, 818, 4800, 2
19, 25700, 816, 4800, 2
20, 25800, 819, 4796, 2
21, 25800, 819, 4804, 2
22, 25700, 819, 4804, 2
23, 25700, 819, 4800, 2
24, 25800, 819, 4800, 2
25, 25800, 816, 4800, 2
26, 25700, 819, 4800, 2
27, 25700, 819, 4800, 2
28, 25700, 816, 4800, 2
29, 25700, 816, 4800, 2
30, 25700, 816, 4804, 2
31, 25700, 816, 4804, 2
32, 25800, 816, 4800, 2
33, 25700, 816, 4800, 2
34, 25700, 816, 4800, 2
35, 25700, 816, 4800, 2
36, 25600, 814, 4800, 2
37, 25600, 816, 4800, 2
38, 25600, 814, 4800, 2
39, 25600, 814, 4804, 2
40, 25600, 814, 4800, 2
41, 25400, 809, 4800, 2
42, 25200, 809, 4804, 2
43, 23900, 769, 4808, 2
44, 25200, 808, 4804, 2
45, 25600, 814, 4800, 2
46, 25600, 814, 4800, 2
47, 25600, 816, 4800, 2
48, 25600, 814, 4804, 2
49, 25700, 816, 4800, 2
50, 25700, 814, 4800, 2
51, 25700, 818, 4800, 2
52, 25700, 816, 4800, 2
53, 25700, 816, 4800, 2
54, 25700, 818, 4800, 2
55, 25700, 814, 4804, 2
56, 25600, 814, 4800, 2
57, 25600, 814, 4800, 2
58, 25600, 814, 4800, 2
59, 25600, 813, 4800, 2
