Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
0, 29900, 916, 4792, 2
1, 29900, 916, 4792, 2
2, 29900, 916, 4788, 2
3, 29900, 916, 4792, 2
4, 30000, 916, 4792, 2
5, 29900, 916, 4792, 3
6, 29900, 916, 4788, 2
7, 29900, 916, 4792, 2
8, 29900, 916, 4792, 2
9, 29900, 916, 4792, 2
10, 29900, 919, 4792, 2
11, 29900, 916, 4792, 2
12, 30000, 916, 4792, 2
13, 29900, 916, 4792, 3
14, 29900, 916, 4792, 2
15, 29900, 916, 4792, 2
16, 29900, 916, 4792, 2
17, 29900, 916, 4792, 2
18, 29900, 919, 4792, 2
19, 29900, 916, 4792, 3
20, 29900, 916, 4792, 3
21, 29900, 916, 4792, 2
22, 30000, 916, 4792, 3
23, 29900, 916, 4792, 2
24, 29900, 916, 4788, 2
25, 30000, 916, 4792, 2
26, 29900, 916, 4792, 2
27, 29900, 916, 4792, 2
28, 29900, 916, 4792, 2
29, 29900, 916, 4788, 2
30, 29900, 916, 4792, 2
31, 29900, 916, 4792, 2
32, 29900, 916, 4788, 2
33, 29900, 916, 4788, 2
34, 29900, 916, 4792, 3
35, 29900, 916, 4792, 2
36, 29900, 919, 4792, 2
37, 29900, 916, 4792, 2
38, 29900, 919, 4792, 2
39, 29800, 916, 4792, 2
40, 29900, 916, 4788, 2
41, 29900, 919, 4792, 2
42, 29900, 916, 4792, 2
43, 29900, 916, 4788, 2
44, 30000, 916, 4792, 2
45, 29900, 919, 4792, 2
46, 29900, 914, 4792, 2
47, 29900, 916, 4788, 2
48, 29900, 916, 4792, 2
49, 29900, 916, 4788, 3
50, 29900, 916, 4792, 2
51, 29900, 916, 4792, 2
52, 29900, 919, 4792, 2
53, 29900, 916, 4788, 2
54, 29900, 916, 4788, 2
55, 29900, 916, 4792, 2
56, 29900, 916, 4792, 2
57, 29900, 916, 4792, 2
58, 29900, 916, 4792, 3
59, 29900, 916, 4792, 2
60, 30000, 916, 4792, 2
61, 29900, 916, 4788, 2
62, 29900, 916, 4788, 2
63, 29900, 916, 4792, 2
64, 29900, 916, 4792, 2
65, 29900, 916, 4792, 3
66, 29900, 916, 4788, 2
67, 29900, 919, 4792, 2
68, 30000, 916, 4792, 3
69, 29900, 916, 4792, 2
70, 30000, 916, 4792, 2
71, 29900, 916, 4788, 2
72, 29900, 919, 4788, 2
73, 29900, 916, 4792, 2
74, 30000, 919, 4792, 2
75, 29900, 916, 4792, 2
76, 30000, 916, 4792, 2
77, 29900, 916, 4788, 2
78, 30000, 919, 4788, 2
79, 29900, 916, 4792, 2
80, 30000, 919, 4792, 2
81, 29900, 919, 4792, 2
82, 29900, 916, 4792, 2
83, 29900, 916, 4788, 3
84, 29900, 916, 4788, 2
85, 29900, 916, 4788, 2
86, 29900, 916, 4788, 2
87, 29900, 916, 4792, 2
88, 29900, 916, 4792, 2
89, 30000, 919, 4792, 2
90, 29900, 919, 4792, 2
91, 30000, 916, 4792, 2
92, 29900, 916, 4792, 2
93, 30000, 919, 4792, 3
94, 30000, 919, 4792, 2
95, 30000, 916, 4792, 2
96, 29900, 916, 4792, 3
97, 30000, 916, 4792, 3
98, 29900, 916, 4792, 2
99, 29900, 916, 4788, 2
100, 30000, 916, 4792, 2
101, 29900, 916, 4788, 2
102, 29900, 916, 4788, 2
103, 29900, 916, 4788, 2
104, 29900, 916, 4788, 3
105, 29900, 916, 4788, 3
106, 29900, 916, 4792, 3
107, 29900, 916, 4792, 2
108, 30000, 916, 4792, 2
109, 29900, 919, 4792, 3
110, 29900, 916, 4792, 3
111, 29900, 916, 4792, 3
112, 30000, 916, 4788, 2
113, 30000, 916, 4792, 2
114, 30000, 919, 4792, 2
115, 29900, 919, 4792, 3
116, 29900, 916, 4792, 3
117, 29900, 916, 4792, 2
118, 29900, 916, 4792, 2
119, 29900, 916, 4792, 3
120, 29900, 916, 4792, 3
121, 29900, 916, 4788, 2
122, 29900, 916, 4792, 3
123, 29900, 916, 4792, 3
124, 29900, 919, 4792, 3
125, 30000, 916, 4792, 3
126, 30000, 919, 4792, 2
127, 29900, 919, 4792, 3
128, 30000, 919, 4792, 2
129, 30000, 919, 4792, 2
130, 30000, 916, 4792, 2
131, 30000, 919, 4792, 3
132, 29900, 919, 4788, 2
133, 29900, 916, 4792, 2
134, 30000, 916, 4792, 3
135, 29900, 916, 4788, 2
136, 30000, 916, 4792, 2
137, 30000, 919, 4792, 2
138, 29900, 919, 4792, 3
139, 29900, 918, 4788, 3
140, 30000, 919, 4788, 2
141, 29900, 916, 4792, 2
142, 30000, 919, 4792, 2
143, 30000, 919, 4792, 2
144, 29900, 919, 4788, 2
145, 30000, 919, 4792, 3
146, 30000, 919, 4792, 3
147, 29900, 916, 4792, 3
148, 29900, 918, 4792, 3
149, 29900, 916, 4788, 2
150, 30000, 919, 4792, 2
151, 30000, 916, 4792, 2
152, 29900, 916, 4792, 2
153, 30000, 919, 4792, 3
154, 29900, 919, 4788, 3
155, 29900, 919, 4792, 2
156, 29900, 919, 4788, 3
157, 29900, 916, 4792, 2
158, 30000, 918, 4792, 2
159, 30000, 916, 4788, 3
160, 29900, 919, 4792, 2
161, 30000, 918, 4788, 2
162, 29900, 919, 4792, 3
163, 30000, 919, 4792, 2
164, 29900, 919, 4792, 3
165, 30000, 916, 4792, 2
166, 30000, 919, 4792, 2
167, 30000, 919, 4792, 3
168, 29900, 916, 4788, 3
169, 29900, 918, 4788, 3
170, 30000, 919, 4792, 3
171, 29900, 919, 4792, 3
172, 30000, 916, 4792, 2
173, 30000, 916, 4792, 3
174, 30000, 918, 4792, 3
175, 29900, 916, 4788, 2
176, 29900, 919, 4792, 3
177, 30000, 919, 4792, 2
178, 29900, 916, 4792, 3
179, 29900, 919, 4792, 2
180, 29900, 919, 4792, 3
181, 30000, 919, 4792, 2
182, 29900, 916, 4792, 3
183, 30000, 919, 4792, 3
184, 30000, 919, 4792, 3
185, 29900, 919, 4792, 3
186, 29900, 916, 4788, 2
187, 30000, 916, 4788, 3
188, 29900, 919, 4792, 3
189, 29900, 919, 4792, 3
190, 30000, 919, 4792, 3
191, 30000, 919, 4792, 3
192, 30000, 916, 4792, 3
193, 30000, 919, 4788, 3
194, 29900, 916, 4788, 2
195, 29900, 919, 4792, 2
196, 30000, 919, 4788, 2
197, 30000, 916, 4792, 3
198, 30000, 919, 4792, 3
199, 29900, 918, 4792, 3
200, 29900, 916, 4792, 3
201, 29900, 919, 4792, 3
202, 30000, 919, 4792, 3
203, 29900, 916, 4792, 3
204, 30000, 916, 4792, 3
205, 30000, 916, 4788, 2
206, 30000, 919, 4792, 2
207, 30000, 916, 4792, 3
208, 30000, 919, 4792, 2
209, 29900, 916, 4788, 3
210, 30000, 918, 4788, 2
211, 30000, 916, 4792, 2
212, 30000, 916, 4792, 3
213, 30000, 919, 4792, 2
214, 30000, 919, 4792, 3
215, 30000, 919, 4792, 3
216, 30000, 919, 4788, 3
217, 30000, 916, 4792, 3
218, 29900, 919, 4792, 3
219, 30000, 919, 4792, 3
220, 29900, 919, 4788, 2
221, 30000, 916, 4792, 3
222, 29900, 918, 4788, 3
223, 30000, 919, 4792, 2
224, 29900, 919, 4792, 3
225, 30000, 916, 4792, 3
226, 29900, 918, 4788, 3
227, 30000, 916, 4788, 2
228, 30000, 919, 4792, 3
229, 30000, 919, 4792, 3
230, 30000, 919, 4788, 3
231, 30000, 918, 4792, 2
232, 30000, 916, 4792, 3
233, 30000, 919, 4788, 3
234, 30000, 919, 4792, 3
235, 29900, 919, 4792, 3
236, 30000, 918, 4792, 3
237, 29900, 916, 4792, 2
238, 30000, 919, 4792, 3
239, 29900, 916, 4788, 3
240, 30000, 916, 4792, 2
241, 30000, 919, 4792, 3
242, 30000, 916, 4792, 2
243, 30000, 919, 4792, 2
244, 30000, 919, 4792, 2
245, 29900, 916, 4792, 3
246, 30000, 919, 4792, 2
247, 30000, 919, 4788, 3
248, 30000, 916, 4792, 3
249, 30000, 919, 4792, 3
250, 30000, 919, 4792, 2
251, 30000, 919, 4792, 3
252, 30000, 918, 4792, 2
253, 29900, 918, 4788, 2
254, 30000, 919, 4792, 3
255, 30000, 916, 4792, 3
256, 29900, 919, 4792, 2
257, 29900, 916, 4788, 3
258, 29900, 916, 4792, 3
259, 30000, 919, 4792, 3
260, 30000, 916, 4788, 3
261, 29900, 916, 4788, 2
262, 29900, 916, 4788, 2
263, 29900, 919, 4788, 2
264, 29900, 918, 4788, 2
265, 29900, 916, 4792, 3
